Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NCarsGroup,NChildrenAtHomeGroup,TotalChildrenGroup,YearlyIncome,Age,AveMonthSpend,log_AveMonthSpend,BikeBuyer
Bachelors ,Professional,M,M,1,No,No,2,137947,31.0,89,4.48863636973214,0
Bachelors ,Professional,M,S,0,1-2,>=1,3,101141,32.0,117,4.762173934797756,1
Bachelors ,Professional,M,M,1,1-2,>=1,3,91945,32.0,123,4.812184355372417,0
Bachelors ,Professional,F,S,0,1-2,No,No,86688,29.0,50,3.912023005428146,0
Bachelors ,Professional,F,S,1,>=3,>=1,>=5,92771,29.0,95,4.553876891600541,1
Bachelors ,Professional,M,S,1,1-2,No,No,103199,32.0,78,4.356708826689592,1
Bachelors ,Professional,F,S,1,1-2,No,No,84756,32.0,54,3.9889840465642745,1
Bachelors ,Professional,M,M,1,1-2,>=1,3,109759,33.0,130,4.867534450455582,1
Bachelors ,Professional,F,S,1,>=3,>=1,4,88005,33.0,85,4.442651256490317,1
Bachelors ,Professional,M,S,0,1-2,No,No,106399,33.0,74,4.30406509320417,0
Bachelors ,Professional,F,S,0,1-2,No,No,81294,33.0,49,3.8918202981106265,0
Bachelors ,Professional,M,M,1,>=3,>=1,4,94029,34.0,146,4.983606621708336,1
Bachelors ,Management,F,M,1,1-2,No,2,99245,29.0,55,4.007333185232471,1
Bachelors ,Management,M,M,1,>=3,No,2,115859,29.0,84,4.430816798843313,0
Bachelors ,Management,F,S,0,>=3,No,3,105157,29.0,49,3.8918202981106265,0
Partial College,Skilled Manual,F,S,0,1-2,No,No,40011,18.0,39,3.6635616461296463,0
Partial College,Skilled Manual,M,M,1,1-2,No,No,46808,18.0,68,4.219507705176107,0
High School,Skilled Manual,M,S,0,1-2,No,No,49455,19.0,64,4.1588830833596715,1
High School,Skilled Manual,M,S,0,1-2,No,No,43857,19.0,64,4.1588830833596715,0
Partial College,Skilled Manual,M,M,1,1-2,No,No,50046,19.0,71,4.2626798770413155,0
Partial College,Skilled Manual,M,M,1,1-2,No,No,91276,19.0,77,4.343805421853684,0
Partial High School,Clerical,M,M,1,1-2,>=1,2,24334,52.0,70,4.248495242049359,0
Partial College,Clerical,M,S,0,1-2,No,2,61905,51.0,63,4.143134726391533,0
Partial College,Clerical,M,M,1,1-2,No,2,49349,51.0,76,4.330733340286331,0
Partial College,Clerical,F,M,1,1-2,No,2,44068,51.0,43,3.7612001156935624,0
High School,Skilled Manual,F,M,1,1-2,No,4,18843,50.0,43,3.7612001156935624,0
High School,Skilled Manual,F,M,1,1-2,No,4,15861,50.0,42,3.7376696182833684,0
High School,Skilled Manual,M,M,1,1-2,No,4,35822,50.0,58,4.060443010546419,0
High School,Skilled Manual,F,M,1,1-2,No,4,29017,50.0,39,3.6635616461296463,0
Partial High School,Clerical,F,M,1,1-2,>=1,2,11721,49.0,50,3.912023005428146,0
Partial College,Skilled Manual,F,M,1,1-2,No,No,84890,19.0,52,3.9512437185814275,0
Partial High School,Clerical,F,S,0,1-2,No,No,48651,20.0,46,3.828641396489095,0
Partial College,Skilled Manual,M,M,1,1-2,No,No,56248,20.0,65,4.174387269895637,0
Partial College,Skilled Manual,F,M,1,1-2,No,No,70623,20.0,55,4.007333185232471,0
Partial College,Skilled Manual,M,M,1,1-2,No,No,78150,21.0,77,4.343805421853684,0
Partial High School,Clerical,M,M,1,1-2,>=1,2,24007,48.0,76,4.330733340286331,0
High School,Skilled Manual,M,S,0,1-2,No,3,51472,47.0,63,4.143134726391533,0
High School,Skilled Manual,F,M,1,1-2,No,3,50798,47.0,48,3.871201010907891,0
High School,Skilled Manual,F,M,0,1-2,No,3,42738,47.0,43,3.7612001156935624,0
Partial High School,Clerical,F,S,1,1-2,No,No,48422,17.0,41,3.713572066704308,1
High School,Skilled Manual,M,M,1,1-2,No,3,58585,46.0,73,4.290459441148391,0
High School,Skilled Manual,M,S,0,1-2,No,3,45982,46.0,64,4.1588830833596715,0
Partial College,Clerical,F,S,0,1-2,No,2,50790,46.0,49,3.8918202981106265,0
Partial College,Skilled Manual,F,M,0,1-2,No,No,91599,17.0,51,3.9318256327243257,0
Partial College,Skilled Manual,F,M,1,1-2,No,2,50018,45.0,43,3.7612001156935624,0
Partial College,Skilled Manual,M,M,1,1-2,No,2,53459,45.0,75,4.31748811353631,0
Partial College,Skilled Manual,F,M,1,1-2,No,3,38588,44.0,46,3.828641396489095,0
Graduate Degree,Management,M,M,1,1-2,No,2,119540,44.0,82,4.406719247264253,0
Partial College,Skilled Manual,M,M,1,1-2,No,2,119982,43.0,87,4.465908118654584,0
Partial College,Skilled Manual,F,S,1,1-2,No,2,86953,43.0,45,3.8066624897703196,0
Partial College,Skilled Manual,M,M,1,1-2,No,2,116368,43.0,87,4.465908118654584,0
Partial College,Skilled Manual,M,M,1,1-2,No,2,110712,43.0,84,4.430816798843313,1
High School,Skilled Manual,M,M,1,1-2,No,No,52145,22.0,71,4.2626798770413155,0
High School,Skilled Manual,F,S,1,1-2,No,No,49609,22.0,40,3.6888794541139363,0
High School,Skilled Manual,M,M,1,1-2,No,No,58306,22.0,76,4.330733340286331,0
Partial College,Skilled Manual,F,M,0,1-2,No,No,73388,24.0,48,3.871201010907891,1
Partial College,Professional,F,M,1,1-2,No,No,61686,24.0,50,3.912023005428146,0
Partial College,Professional,M,S,1,1-2,No,No,96049,21.0,70,4.248495242049359,1
High School,Skilled Manual,M,M,1,1-2,No,2,109883,42.0,87,4.465908118654584,0
High School,Skilled Manual,F,S,1,1-2,No,2,106718,42.0,51,3.9318256327243257,0
High School,Skilled Manual,F,S,0,1-2,No,2,97646,42.0,52,3.9512437185814275,0
High School,Skilled Manual,F,S,1,1-2,No,2,58916,41.0,51,3.9318256327243257,0
High School,Skilled Manual,M,S,1,1-2,No,2,93934,41.0,74,4.30406509320417,0
High School,Professional,F,S,1,1-2,No,2,99137,40.0,51,3.9318256327243257,0
High School,Professional,M,S,1,1-2,No,2,112044,40.0,73,4.290459441148391,0
High School,Professional,F,S,0,1-2,No,2,108728,40.0,55,4.007333185232471,0
High School,Professional,F,S,0,1-2,No,No,49084,23.0,48,3.871201010907891,1
Graduate Degree,Management,M,S,1,1-2,No,No,172444,38.0,87,4.465908118654584,0
Graduate Degree,Management,M,M,1,1-2,No,No,181590,38.0,92,4.5217885770490405,1
Bachelors ,Management,F,M,1,>=3,>=1,2,148109,31.0,76,4.330733340286331,0
Graduate Degree,Management,F,S,0,>=3,>=1,1,149717,31.0,62,4.127134385045092,1
Graduate Degree,Management,F,M,1,>=3,>=1,1,163913,31.0,68,4.219507705176107,1
High School,Professional,F,S,0,1-2,No,2,66900,40.0,47,3.8501476017100584,0
Partial College,Professional,M,M,1,No,>=1,2,97834,40.0,98,4.584967478670572,0
Bachelors ,Management,M,M,1,No,>=1,2,129910,40.0,104,4.6443908991413725,0
Bachelors ,Management,F,S,1,1-2,>=1,2,91729,40.0,57,4.04305126783455,1
Partial College,Professional,M,S,1,1-2,No,2,113883,40.0,76,4.330733340286331,0
Partial College,Professional,M,M,1,1-2,No,2,112820,40.0,82,4.406719247264253,0
Graduate Degree,Management,F,M,1,No,No,No,106839,30.0,58,4.060443010546419,0
Partial College,Skilled Manual,M,S,0,1-2,No,1,88887,35.0,78,4.356708826689592,1
Partial College,Skilled Manual,M,S,1,1-2,No,1,108740,35.0,77,4.343805421853684,0
Bachelors ,Professional,M,M,1,1-2,No,1,106971,35.0,87,4.465908118654584,1
Partial College,Skilled Manual,M,M,1,1-2,No,1,98519,36.0,80,4.382026634673881,0
Partial College,Skilled Manual,F,S,0,1-2,No,1,82707,36.0,54,3.9889840465642745,0
Bachelors ,Professional,M,M,1,1-2,No,1,103866,36.0,83,4.418840607796598,1
Partial College,Skilled Manual,F,S,1,1-2,No,1,66520,37.0,46,3.828641396489095,0
